id,title,year
19995,avatar,2009
285,pirates of the caribbean: at world's end,2007
206647,spectre,2015
49026,the dark knight rises,2012
49529,john carter,2012
559,spider-man 3,2007
38757,tangled,2010
99861,avengers: age of ultron,2015
767,harry potter and the half-blood prince,2009
209112,batman v superman: dawn of justice,2016
1452,superman returns,2006
10764,quantum of solace,2008
58,pirates of the caribbean: dead man's chest,2006
57201,the lone ranger,2013
49521,man of steel,2013
2454,the chronicles of narnia: prince caspian,2008
24428,the avengers,2012
1865,pirates of the caribbean: on stranger tides,2011
41154,men in black 3,2012
122917,the hobbit: the battle of the five armies,2014
1930,the amazing spider-man,2012
20662,robin hood,2010
57158,the hobbit: the desolation of smaug,2013
2268,the golden compass,2007
254,king kong,2005
597,titanic,1997
271110,captain america: civil war,2016
44833,battleship,2012
135397,jurassic world,2015
37724,skyfall,2012
558,spider-man 2,2004
68721,iron man 3,2013
12155,alice in wonderland,2010
36668,x-men: the last stand,2006
62211,monsters university,2013
8373,transformers: revenge of the fallen,2009
91314,transformers: age of extinction,2014
68728,oz: the great and powerful,2013
102382,the amazing spider-man 2,2014
20526,tron: legacy,2010
49013,cars 2,2011
44912,green lantern,2011
10193,toy story 3,2010
534,terminator salvation,2009
168259,furious 7,2015
72190,world war z,2013
127585,x-men: days of future past,2014
54138,star trek into darkness,2013
81005,jack the giant slayer,2013
64682,the great gatsby,2013
9543,prince of persia: the sands of time,2010
68726,pacific rim,2013
38356,transformers: dark of the moon,2011
217,indiana jones and the kingdom of the crystal skull,2008
105864,the good dinosaur,2015
62177,brave,2012
188927,star trek beyond,2016
10681,wall·e,2008
5174,rush hour 3,2007
14161,2012,2009
17979,a christmas carol,2009
76757,jupiter ascending,2015
258489,the legend of tarzan,2016
411,"the chronicles of narnia: the lion, the witch and the wardrobe",2005
246655,x-men: apocalypse,2016
155,the dark knight,2008
14160,up,2009
15512,monsters vs aliens,2009
1726,iron man,2008
44826,hugo,2011
8487,wild wild west,1999
1735,the mummy: tomb of the dragon emperor,2008
297761,suicide squad,2016
2698,evan almighty,2007
137113,edge of tomorrow,2014
9804,waterworld,1995
14869,g.i. joe: the rise of cobra,2009
150540,inside out,2015
278927,the jungle book,2016
10138,iron man 2,2010
58595,snow white and the huntsman,2012
102651,maleficent,2014
119450,dawn of the planet of the apes,2014
79698,the lovers,2015
64686,47 ronin,2013
100402,captain america: the winter soldier,2014
10192,shrek forever after,2010
158852,tomorrowland,2015
177572,big hero 6,2014
82690,wreck-it ralph,2012
5255,the polar express,2004
47933,independence day: resurgence,2016
10191,how to train your dragon,2010
296,terminator 3: rise of the machines,2003
118340,guardians of the galaxy,2014
157336,interstellar,2014
27205,inception,2010
315011,シン・ゴジラ,2016
49051,the hobbit: an unexpected journey,2012
9799,the fast and the furious,2001
4922,the curious case of benjamin button,2008
49538,x-men: first class,2011
131634,the hunger games: mockingjay - part 2,2015
27022,the sorcerer's apprentice,2010
503,poseidon,2006
241259,alice through the looking glass,2016
810,shrek the third,2007
68735,warcraft,2016
87101,terminator genisys,2015
10140,the chronicles of narnia: the voyage of the dawn treader,2010
676,pearl harbor,2001
1858,transformers,2007
1966,alexander,2004
675,harry potter and the order of the phoenix,2007
674,harry potter and the goblet of fire,2005
8960,hancock,2008
6479,i am legend,2007
118,charlie and the chocolate factory,2005
2062,ratatouille,2007
272,batman begins,2005
10527,madagascar: escape 2 africa,2008
18360,night at the museum: battle of the smithsonian,2009
2080,x-men origins: wolverine,2009
605,the matrix revolutions,2003
109445,frozen,2013
604,the matrix reloaded,2003
76338,thor: the dark world,2013
76341,mad max: fury road,2015
13448,angels & demons,2009
10195,thor,2011
13053,bolt,2008
19585,g-force,2009
57165,wrath of the titans,2012
62213,dark shadows,2012
177677,mission: impossible - rogue nation,2015
7978,the wolfman,2010
5559,bee movie,2007
49444,kung fu panda 2,2011
10196,the last airbender,2010
956,mission: impossible iii,2006
117251,white house down,2013
50321,mars needs moms,2011
11619,flushed away,2006
266647,pan,2015
82703,mr. peabody & sherman,2014
652,troy,2004
80321,madagascar 3: europe's most wanted,2012
36669,die another day,2002
43074,ghostbusters,2016
95,armageddon,1998
608,men in black ii,2002
2310,beowulf,2007
140300,kung fu panda 3,2016
56292,mission: impossible - ghost protocol,2011
81188,rise of the guardians,2012
7552,fun with dick and jane,2005
616,the last samurai,2003
147441,exodus: gods and kings,2014
13475,star trek,2009
557,spider-man,2002
82702,how to train your dragon 2,2014
205584,gods of egypt,2016
10048,stealth,2005
13183,watchmen,2009
944,lethal weapon 4,1998
1927,hulk,2003
72559,g.i. joe: retaliation,2013
7364,sahara,2005
2114,final fantasy: the spirits within,2001
1771,captain america: the first avenger,2011
36643,the world is not enough,1999
8619,master and commander: the far side of the world,2003
50620,the twilight saga: breaking dawn - part 2,2012
65759,happy feet two,2011
1724,the incredible hulk,2008
267935,the bfg,2016
281957,the revenant,2015
77950,turbo,2013
44896,rango,2011
270946,penguins of madagascar,2014
2503,the bourne ultimatum,2007
9502,kung fu panda,2008
102899,ant-man,2015
101299,the hunger games: catching fire,2013
228161,home,2015
74,war of the worlds,2005
8961,bad boys ii,2003
417859,puss in boots,2011
27576,salt,2010
86834,noah,2014
17578,the adventures of tintin,2011
673,harry potter and the prisoner of azkaban,2004
6972,australia,2008
82700,after earth,2013
10567,dinosaur,2000
181533,night at the museum: secret of the tomb,2014
38055,megamind,2010
671,harry potter and the philosopher's stone,2001
49524,r.i.p.d.,2013
22,pirates of the caribbean: the curse of the black pearl,2003
131631,the hunger games: mockingjay - part 1,2014
591,the da vinci code,2006
172385,rio 2,2014
36658,x2,2003
51497,fast five,2011
58574,sherlock holmes: a game of shadows,2011
18823,clash of the titans,2010
861,total recall,1990
1911,the 13th warrior,1999
49040,the bourne legacy,2012
415,batman & robin,1997
8871,how the grinch stole christmas,2000
435,the day after tomorrow,2004
955,mission: impossible ii,2000
2133,the perfect storm,2000
1979,4: rise of the silver surfer,2007
87827,life of pi,2012
1250,ghost rider,2007
324668,jason bourne,2016
9471,charlie's angels: full throttle,2003
70981,prometheus,2012
10996,stuart little 2,2002
68724,elysium,2013
2789,the chronicles of riddick,2004
97020,robocop,2014
7459,speed racer,2008
42888,how do you know,2010
37834,knight and day,2010
75612,oblivion,2013
1895,star wars: episode iii - revenge of the sith,2005
1894,star wars: episode ii - attack of the clones,2002
585,"monsters, inc.",2001
76170,the wolverine,2013
1893,star wars: episode i - the phantom menace,1999
49519,the croods,2013
2395,astérix aux jeux olympiques,2008
12100,windtalkers,2002
290595,the huntsman: winter's war,2016
98566,teenage mutant ninja turtles,2014
49047,gravity,2013
9619,dante's peak,1997
308531,teenage mutant ninja turtles: out of the shadows,2016
166424,fantastic four,2015
1593,night at the museum,2006
254128,san andreas,2015
714,tomorrow never dies,1997
2024,the patriot,2000
163,ocean's twelve,2004
787,mr. & mrs. smith,2005
262500,insurgent,2015
2567,the aviator,2004
38745,gulliver's travels,2010
40805,the green hornet,2011
53182,300: rise of an empire,2014
41513,the smurfs,2011
13700,home on the range,2004
262504,allegiant,2016
39254,real steel,2011
77931,the smurfs 2,2013
1639,speed 2: cruise control,1997
80274,ender's game,2013
1571,live free or die hard,2007
120,the lord of the rings: the fellowship of the ring,2001
10204,around the world in 80 days,2004
8489,ali,2001
10588,the cat in the hat,2003
2048,"i, robot",2004
1495,kingdom of heaven,2005
10137,stuart little,1999
10198,the princess and the frog,2009
286217,the martian,2015
1635,the island,2005
24113,town & country,2001
9679,gone in sixty seconds,2000
98,gladiator,2000
180,minority report,2002
672,harry potter and the chamber of secrets,2002
36557,casino royale,2006
869,planet of the apes,2001
280,terminator 2: judgment day,1991
11322,public enemies,2009
4982,american gangster,2007
36955,true lies,1994
18487,the taking of pelham 1 2 3,2009
39451,little fockers,2010
27581,the other guys,2010
9268,eraser,1996
68718,django unchained,2012
10545,the hunchback of notre dame,1996
11688,the emperor's new groove,2000
76163,the expendables 2,2012
2059,national treasure,2004
2486,eragon,2006
16523,where the wild things are,2009
116711,epic,2013
37710,the tourist,2010
9946,end of days,1999
1372,blood diamond,2006
106646,the wolf of wall street,2013
414,batman forever,1995
563,starship troopers,1997
83542,cloud atlas,2012
41216,legend of the guardians: the owls of ga'hoole,2010
314,catwoman,2004
184315,hercules,2014
9016,treasure planet,2002
18162,land of the lost,2009
138103,the expendables 3,2014
257088,point break,2015
10214,son of the mask,2005
205775,in the heart of the sea,2015
11692,the adventures of pluto nash,2002
22972,green zone,2010
227973,the peanuts movie,2015
29193,the spanish prisoner,1997
1734,the mummy returns,2001
3131,gangs of new york,2002
76758,金陵十三釵,2011
9408,surf's up,2007
9890,the stepford wives,2004
855,black hawk down,2001
77953,the campaign,2012
18,the fifth element,1997
37786,sex and the city 2,2010
10501,the road to el dorado,2000
57800,ice age: continental drift,2012
150689,cinderella,2015
7980,the lovely bones,2009
12,finding nemo,2003
122,the lord of the rings: the return of the king,2003
121,the lord of the rings: the two towers,2002
68737,seventh son,2014
1995,lara croft: tomb raider,2001
157353,transcendence,2014
331,jurassic park iii,2001
61791,rise of the planet of the apes,2011
8204,the spiderwick chronicles,2008
47964,a good day to die hard,2013
10733,the alamo,2004
9806,the incredibles,2004
1408,cutthroat island,1995
32657,percy jackson & the olympians: the lightning thief,2010
607,men in black,1997
863,toy story 2,1999
44048,unstoppable,2010
5175,rush hour 2,2001
2655,what lies beneath,2000
22794,cloudy with a chance of meatballs,2009
8355,ice age: dawn of the dinosaurs,2009
116745,the secret life of walter mitty,2013
4327,charlie's angels,2000
1422,the departed,2006
10674,mulan,1998
7446,tropic thunder,2008
65754,the girl with the dragon tattoo,2011
1572,die hard: with a vengeance,1995
10528,sherlock holmes,2009
271969,ben-hur,2016
10865,atlantis: the lost empire,2001
258509,alvin and the chipmunks: the road chip,2015
2253,valkyrie,2008
10661,you don't mess with the zohan,2008
257344,pixels,2015
644,a.i. artificial intelligence,2001
10756,the haunted mansion,2003
686,contact,1997
9383,hollow man,2000
179,the interpreter,2005
76285,percy jackson: sea of monsters,2013
1996,lara croft tomb raider: the cradle of life,2003
291805,now you see me 2,2016
10003,the saint,1997
1535,spy game,2001
2067,mission to mars,2000
46195,rio,2011
2277,bicentennial man,1999
10357,volcano,1997
4477,the devil's own,1997
8665,k-19: the widowmaker,2002
9387,conan the barbarian,1982
921,cinderella man,2005
49852,the nutcracker: the untold story,2010
4464,seabiscuit,2003
664,twister,1996
8358,cast away,2000
9836,happy feet,2006
2502,the bourne supremacy,2004
9772,air force one,1997
161,ocean's eleven,2001
52451,the three musketeers,2011
76492,hotel transylvania,2012
4523,enchanted,2007
59961,safe house,2012
10481,102 dalmatians,2000
59108,tower heist,2011
1581,the holiday,2006
9798,enemy of the state,1998
22897,it's complicated,2009
298,ocean's thirteen,2007
7484,open season,2006
157350,divergent,2014
853,enemy at the gates,2001
10159,the rundown,2003
9593,last action hero,1993
1904,memoirs of a geisha,2005
9615,the fast and the furious: tokyo drift,2006
51052,arthur christmas,2011
297,meet joe black,1998
9884,collateral damage,2002
16858,all that jazz,1979
62764,mirror mirror,2012
22538,scott pilgrim vs. the world,2010
9341,the core,2003
12107,nutty professor ii: the klumps,2000
9637,scooby-doo,2002
49049,dredd,2012
9339,click,2006
16281,creepshow,1982
39691,cats & dogs 2 : the revenge of kitty galore,2010
8247,jumper,2008
11253,hellboy ii: the golden army,2008
1949,zodiac,2007
8452,the 6th day,2000
310,bruce almighty,2003
27578,the expendables,2010
954,mission: impossible,1996
70160,the hunger games,2012
45243,the hangover part ii,2011
364,batman returns,1992
7518,over the hedge,2006
11544,lilo & stitch,2002
9986,charlotte's web,2006
8656,deep impact,1998
146216,red 2,2013
9291,the longest yard,2005
55301,alvin and the chipmunks: chipwrecked,2011
109418,grown ups 2,2013
11665,get smart,2008
6964,something's gotta give,2003
11324,shutter island,2010
12193,four christmases,2008
9928,robots,2005
